product-img-link href,cleanDesc,part-info,part-info 2,price,starting-at,short-description,short-description href 2,short-description 15,short-description 16,short-description 17,short-description 18,short-description 19,short-description 20,short-description 21
https://www.turnermotorsport.com/p-555330-turner-performance-software-for-e60-545i/,"Turner Performance Software For E60 E63 E65 545i 645i 745i
        ...",555330,TN62-545,$633.34,Starting at,"Max HP gain = Max Trq gain = Our software fully maximizes the N62 engine in the 545i, 645Ci, or 745i/iL. Our software has been carefully developed on the dyno and the road to provide optimal power and torque gains at all RPM. We change the fuel, Valvetronic, and VANOS maps as well as revise the factory torque limiters. We have paid particular attention to increasing low and mid-range torque. The throttle response is also improved (quicker) eliminating unwanted and dangerous flat spots in the pedal response.",,,,,,,,
https://www.turnermotorsport.com/p-391324-e85-z4-30i-n52-turner-performance-software/,E85 Z4 3.0i N52 Turner Performance Software,391324,TN52-Z4-ST1DK,$396.71,Starting at,Max HP gain up to = Max Trq gain up to = Rev Limit = 7000 RPM,https://1c2a8a2161d644d95009-22d26b38e78c173d82b3a9a01c774ffa.ssl.cf1.rackcdn.com/pages/Instructions/E90_N52_DME_shipping.pdf,free Next Day Air shipping label,,,,,,
https://www.turnermotorsport.com/p-391325-e85-z4-30i-turner-stage-2-performance-software/,E85 Z4 3.0i Turner Stage 2 Performance Software,391325,TN52-Z4-ST2,$396.72,Starting at,"Our Stage 2 software takes full advantage of the 3-stage 3.0si intake manifold on the N52 engine. We take our base Stage 1 software file and tune it for the improved flow coming through the 'High Output' 3.0si intake manifold (also used on the E90 330i). The 3.0si manifold is one of the best power enhancements you can do on the N52 engines and proper tuning is a must to get the most from it. We modify the factory maps for fuel, ignition, and camshaft timing to maximize the intake manifold upgrade. Additional tuning is done to the pedal input, throttle response, and torque limiters for a better torque band and smoother power delivery. You can use the car with the 330 manifold installed and the stock software but the original software will not be optimized for the new manifold. We can also tune for Cold Air Intake (including BMW Euro intake) as well as sport exhausts.",https://1c2a8a2161d644d95009-22d26b38e78c173d82b3a9a01c774ffa.ssl.cf1.rackcdn.com/pages/Instructions/E90_N52_DME_shipping.pdf,,,,,,,
https://www.turnermotorsport.com/p-567128-turner-motorsport-n63-remote-tuning-package/,"Turner Motorsport N63 Performance Software - E70 X5 xDrive50i, E71 X...",567128,TN63-REMOTEPKG,$661.46,,Max HP gain up to = Max Trq gain up to =,https://www.turnermotorsport.com/t-BMW-Warranty-Info,2010-2013 X52010-2014  X6,This item fits the following BMWs:,E70 BMW,E71 BMW,,,
https://www.turnermotorsport.com/p-567126-turner-motorsport-s63-remote-tuning-package/,Turner Motorsport S63TU Stage 1 Performance Software - F10 F12 M5 M6...,567126,TS63TU-REMOTEPKG,$826.46,,Max HP gain up to = Max Trq gain up to =,https://www.turnermotorsport.com/t-BMW-Warranty-Info,This item fits the following BMWs:,F10 BMW,F12 BMW,F13 BMW,F06 BMW,"BMW warranty. Generally speaking, a car manufacturer cannot legally void your warranty for adding non-stock equipment - .",2013-2016 M52012-2018 M6 Coupe2012-2018 M6 Convertible2012-2017  M6 Gran Coupe
https://www.turnermotorsport.com/p-555375-turner-performance-software-for-z3m-s54-01-02/,Turner Performance Software For Z3M S54 (01-02),555375,TS54-Z3M,$627.66,Starting at,Max HP gain = Max Trq gain =,https://www.turnermotorsport.com/p-391751-turner-iat-relocation-harness/,fuel and timing maps at part throttle and wide-open throttle,revised torque settings and knock control,2001-2002 Z3M Coupe Z3M Roadster,improved VAN0S variable valve timing,smoother and faster pedal response,Turner IAT Relocation:,top speed limiter raised (180mph)
https://www.turnermotorsport.com/p-340100-turner-performance-software-for-e9x-328i-sulev/,Turner Performance Software for E9X 328i (SULEV),340100,AN51-328,$396.71,Starting at,"Max HP gain up to = Max Trq gain up to = Rev Limit = 7000 RPMOur software fully maximizes the N51 engine in the 328i while in SULEV spec (Super Ultra Low Emission Vehicle). The stock BMW software is hampered by settings for 87 octane fuel. By re-mapping the engine programming for 91 octane, we can make more power, torque, and improve fuel mileage - all without harm to the engine or affecting driveability. We have paid particular attention to increasing low and mid-range torque. The throttle response is also improved (quicker) eliminating unwanted and dangerous flat spots in the pedal response.This software file is for the N51 engine SULEV model only. SULEV is a specification used in some parts of the US where emissions compliance is critical (mostly in California, the Northwest, and the Northeast). The computer and engine specs are different than the 'regular' 328i N52 engine.",https://1c2a8a2161d644d95009-22d26b38e78c173d82b3a9a01c774ffa.ssl.cf1.rackcdn.com/pages/Instructions/E90_N52_DME_shipping.pdf,with N51 SULEV engine,This item fits the following BMWs:,E90 BMW,with N51 SULEV engine,E91 BMW,with N51 SULEV engine,E93 BMW
https://www.turnermotorsport.com/p-586071-turner-motorsport-performance-software/,"Turner Motorsport B46/B48 Performance Software - F39/F48 X1/X2 MINI
...",586071,TB48-REMOTEPKG,$661.46,,,,,,,,,,
https://www.turnermotorsport.com/p-586069-turner-motorsport-performance-software/,Turner Motorsport N63TU Performance Software - F10 F12 F15 550i 650i...,586069,TN63TU-REMOTEPKG,$661.46,,"MASSIVE POWER, BETTER DRIVEABILITY! Max HP gain up to = 82 hp Max Trq gain up to = 86 ft-lbs Our 550i/650i software is designed with the enthusiast street driver in mind. You don't have to choose between driveability, reliability, and power - we've ensured all three are present with all Turner software, as well as our latest M5 release. You don't need gimmicks or marketing fluff to make good software, so you won't find any of that here.",,,,,,,,
https://www.turnermotorsport.com/p-567244-turner-motorsport-s63-remote-tuning-package/,"Turner Motorsport S63 Performance Software - E70 X5M, E71 X6M
     ...",567244,TS63-REMOTEPKG,$661.46,,Max HP gain up to = Max Trq gain up to =,https://www.turnermotorsport.com/t-BMW-Warranty-Info,,,"BMW warranty. Generally speaking, a car manufacturer cannot legally void your warranty for adding non-stock equipment - .",,2010-2013 X5M2010-2014  X6M,This item fits the following BMWs:,
https://www.turnermotorsport.com/p-340104-turner-performance-software-for-e82-128i/,Turner Performance Software for E82 128i,340104,TN52NM1-128,$396.71,Starting at,Max HP gain up to = Max Trq gain up to = Rev Limit = 7000 RPM,https://1c2a8a2161d644d95009-22d26b38e78c173d82b3a9a01c774ffa.ssl.cf1.rackcdn.com/pages/Instructions/E90_N52_DME_shipping.pdf,This item fits the following BMWs:,E82 E88 BMW,,,,,
https://www.turnermotorsport.com/p-359307-turner-performance-software-for-the-e60-m5-e63e64-m6/,"Turner Stage 1 S85 Performance Software - E60 M5, E63/E64 M6
      ...",359307,E60-M5-SOFTWARE-,$661.46,Starting at,"Max HP gain up to =  @8200rpmMax Trq gain up to =  @6900rpmRev Limit = 8,250 or 8,500 RPM Adding power and torque to the M5 V10 is as easy as a flash! Where we can make our software better is by tuning it for higher octane gasoline. The stock software is tuned around the 87 octane available in the US (most M5 owners would never use 87 but BMW engineers must account for that possibility). With our software, the performance of the S85 engine is optimized for the higher 91 or 93 octane. We tune many areas of the engine programming -",,Base File Update,M6 cabrio,"2006-2010 E60  2006-2010 E63  , E64",,"fuel and timing maps at part throttle and wide-open throttle,","revised torque settings and knock control,","improved VAN0S variable valve timing,"
https://www.turnermotorsport.com/p-555373-turner-performance-software-for-e856-z4m/,Turner Performance Software For E85/6 Z4M,555373,TS54-Z4M,$627.66,Starting at,Max HP gain = Max Trq gain =,https://www.turnermotorsport.com/p-391751-turner-iat-relocation-harness/,2006-2008  Z4M Coupe Z4M Roadster,Turner IAT Relocation:,This item fits the following BMWs:,E85/6 BMW,fuel and timing maps at part throttle and wide-open throttle,revised torque settings and knock control,improved VAN0S variable valve timing
https://www.turnermotorsport.com/p-555345-turner-performance-software-for-e39-540i-99-03/,Turner Performance Software For E39 540i (99-03),555345,TM62TU-540,$538.09,Starting at,"Often lauded as one of the best BMWs of the last 20 years, the E39 540i is a solid performer. With careful massaging, we have succeeded in fine tuning calibrations within the factory ECU, resulting in improved performance across the power band - with significant performance gains starting at 4,000rpm and continuing straight through the new 6,300rpm redline. We tune many areas of the engine programming -",https://www.turnermotorsport.com/p-391751-turner-iat-relocation-harness/,revised torque settings and knock control,improved VAN0S variable valve timing,smoother and faster pedal response,top speed limiter raised (180mph),,,
https://www.turnermotorsport.com/p-582968-turner-stage-1-performance-software/,Turner Motorsport N14 Performance Software - MINI Cooper S R55 R56 R...,582968,TN14-R5X,$642.34,Starting at,"MORE POWER, BETTER DRIVEABILITY! Peak horsepower gain up to = +34 hp Peak torque gain up to = +29 ft-lbs Decades of tuning for the street and track has helped us understand what's important to the MINI tuning community - highly effective, reliable, consistent performance tuning that heightens the MINI Cooper driving experience. Hours of testing and retesting calibrations on our in-house Mustang dyno to ensure we were delivering a tune that is offers the desired driving experience and is compatible with 100% stock cars, as well as those with common bolt-on modifications. What modifications do I need? In short: none! Our tune is optimized for factory stock cars, as well as those with light modifications such as intake or cat-back exhaust. An intercooler is also supported - and is recommended for cars that see driving environments that frequently cause heat-soak. Our N14 tune removes the factory speed limiter, raises the rev limiter to 6900rpm, and will offer full power at 93 octane (although is compatible with 91 octane as well). Our modified calibrations offer significant peak power gains of +34 horsepower and +29 ft-lbs torque (with max gains of 38 horsepower and 38 ft-lbs torque). Your MINI Cooper S will pull harder all the way to redline - sure to put a smile on your face. How do I get my tune? Easily, and in your own garage or driveway. No wiring changes, no irreversible modifications, no need to even open the hood. We mail you a DIY flashing tool and step-by-step instructions, you download your stock tune using a Windows laptop, and upload it to us while also answering a few easy questions. We quickly get to work creating your tune and email it back to you, for you to install (by following easy step-by-step instructions) at your convenience. There is no downtime - you can still drive your car while we process your tune. See install and tuning instructions here, and access the latest install licenses. What else do I need to know? Maintenance. The key to building a high performance machine is regular maintenance and upkeep. We've found regular ignition system service to be of significant importance - replace your spark plugs at 25,000 mile intervals for best results, and replace your ignition coils with every other spark plug replacement. Dealer service. After tuning, there's the possibility your local dealer may over-write your tune if they update your engine's software. This simply requires reloading of the Turner tune after your service visit. We find many dealers to be accommodating of our software - simply letting your service adviser know your car has been tuned is often enough to avoid an unnecessary software update. This item fits the following MINIs: 2008-2010 MINI R55 Clubman N14 2007-2010 MINI R56 Cooper S Coupe N14 2009-2010 MINI R57 Cooper S Convertible N14",,,,,,,,
https://www.turnermotorsport.com/p-555365-turner-performance-software-for-e53-44i-04-06/,Turner Performance Software For E53 4.4i (04-06),555365,TN62-X5-4.4,$633.34,Starting at,"Max HP gain = Max Trq gain = Our software fully maximizes the N62 engine in the X5. Our software has been carefully developed on the dyno and the road to provide optimal power and torque gains at all RPM. We change the fuel, Valvetronic, and VANOS maps as well as revise the factory torque limiters. We have paid particular attention to increasing low and mid-range torque. The throttle response is also improved (quicker) eliminating unwanted and dangerous flat spots in the pedal response.",,,,,,,,
https://www.turnermotorsport.com/p-362418-e60-525i-n52-turner-stage-2-performance-software/,E60 525i N52 Turner Stage 2 Performance Software,362418,TN52-525-ST2,$396.72,Starting at,"Our Stage 2 software takes full advantage of the 3-stage 330 intake manifold on the N52 engine. We take our base Stage 1 software file and tune it for the improved flow coming through the 'High Output' 330 intake manifold. The 330 manifold is one of the best power enhancements you can do on the N52 engines and proper tuning is a must to get the most from it. We modify the factory maps for fuel, ignition, and camshaft timing to maximize the 330 intake manifold upgrade. Additional tuning is done to the pedal input, throttle response, and torque limiters for a better torque band and smoother power delivery. You can use the car with the 330 manifold installed and the stock software but the original software will not be optimized for the new manifold. We can also tune for Cold Air Intake (including BMW Euro intake) as well as sport exhausts.",https://1c2a8a2161d644d95009-22d26b38e78c173d82b3a9a01c774ffa.ssl.cf1.rackcdn.com/pages/Instructions/E90_N52_DME_shipping.pdf,,,,,,,
https://www.turnermotorsport.com/p-340106-turner-performance-software-for-the-e60-528i-08-10/,Turner Performance Software for the E60 528i 08-10,340106,TN52NM1-528,$396.71,Starting at,Max HP gain up to = Max Trq gain up to = Rev Limit = 7000 RPM,https://1c2a8a2161d644d95009-22d26b38e78c173d82b3a9a01c774ffa.ssl.cf1.rackcdn.com/pages/Instructions/E90_N52_DME_shipping.pdf,,,,,,This item fits the following BMWs:,
https://www.turnermotorsport.com/p-555353-turner-performance-software-for-e38-740iil99-01/,Turner Performance Software For E38 740i/iL (99-01),555353,TM62TU-740,$538.09,Starting at,"The E38 740 has aged well, and continues to be an enthusiast favorite, although lacks the power and torque available on modern models. With careful massaging, we have succeeded in fine tuning calibrations within the factory ECU, resulting in improved performance across the power band - with significant performance gains starting at 4,000rpm and continuing straight through the new 6,300rpm redline. We tune many areas of the engine programming -",https://www.turnermotorsport.com/p-391751-turner-iat-relocation-harness/,,,,,fuel and timing maps at part throttle and wide-open throttle,revised torque settings and knock control,improved VAN0S variable valve timing
https://www.turnermotorsport.com/p-340101-turner-performance-software-for-the-e60-525i-06-07/,Turner Performance Software for the E60 525i 06-07,340101,TN52-525,$633.34,Starting at,Max HP gain up to = Max Trq gain up to = Rev Limit = 7000 RPM,https://1c2a8a2161d644d95009-22d26b38e78c173d82b3a9a01c774ffa.ssl.cf1.rackcdn.com/pages/Instructions/E90_N52_DME_shipping.pdf,This item fits the following BMWs:,E60 BMW,,,,2006-2007  525i 525xi,
https://www.turnermotorsport.com/p-555358-turner-performance-software-for-e53-x5-44i-00-03/,Turner Performance Software For E53 X5 4.4i (00-03),555358,TM62TU-X5-4.4,$538.09,Starting at,"Additional power is available for the taking on the E53 X5 - regardless if your SAV is a daily driver, kid hauler, or toy hauler, additional power is a welcome addition to any X5. With careful massaging, we have succeeded in fine tuning calibrations within the factory ECU, resulting in improved performance across the power band - with significant performance gains starting at 4,000rpm and continuing straight through the new 6,300rpm redline. We tune many areas of the engine programming -",https://www.turnermotorsport.com/p-391751-turner-iat-relocation-harness/,,,,,fuel and timing maps at part throttle and wide-open throttle,revised torque settings and knock control,improved VAN0S variable valve timing
https://www.turnermotorsport.com/p-586170-malone-tuning-stage-1-with-flashzilla-v3/,Malone Tuning Stage 1 - With FlashZilla V3,586170,BMW-30-62651FZKT,$739.00,,,,,,,,,,
https://www.turnermotorsport.com/p-340107-turner-performance-software-for-e9x-330i/,Turner Performance Software for E9X 330i,340107,TN52NO1-330,$396.71,Starting at,Max HP gain up to = Max Trq gain up to = Rev Limit = 7000 RPM,https://1c2a8a2161d644d95009-22d26b38e78c173d82b3a9a01c774ffa.ssl.cf1.rackcdn.com/pages/Instructions/E90_N52_DME_shipping.pdf,E90 BMW,,,,,,
https://www.turnermotorsport.com/p-586072-turner-motorsport-performance-software/,Turner Motorsport B48 Performance Software - MINI JCW F54 F56 F57 F6...,586072,TB48-REMOTEPKG,$661.46,,,,,,,,,,
https://www.turnermotorsport.com/p-340102-turner-performance-software-for-the-e60-530i-06-07/,Turner Performance Software for the E60 530i 06-07,340102,TN52-530,$396.71,Starting at,Max HP gain up to = Max Trq gain up to = Rev Limit = 7000 RPM,https://1c2a8a2161d644d95009-22d26b38e78c173d82b3a9a01c774ffa.ssl.cf1.rackcdn.com/pages/Instructions/E90_N52_DME_shipping.pdf,,E60 BMW,,,,,
https://www.turnermotorsport.com/p-567124-turner-motorsport-i8-remote-tuning-package/,Turner Motorsport Stage 1 Performance Software - i8,567124,TB38I8-REMOTEPKG,$826.46,,Max HP gain up to = Max Trq gain up to =,https://www.turnermotorsport.com/t-BMW-Warranty-Info,What else do I need to know?,"BMW warranty. Generally speaking, a car manufacturer cannot legally void your warranty for adding non-stock equipment - .",2014+ i8,This item fits the following BMWs:,I12 BMW,,
https://www.turnermotorsport.com/p-391969-e60-m5-06-10-stage-1-turner-motorsport-performance-package/,"E60 M5 06-10 Stage 1 Turner Motorsport Performance Package
        ...",391969,E60M5PPST1,"$1,755.33",Starting at,,,,,,,,,
