product-img-link href,cleanDesc,part-info,part-info 2,price,wishlist-label href,short-description,short-description 15,short-description 16,short-description 18,short-description 19,short-description 20,badge
https://www.turnermotorsport.com/p-361394-e90e92-325xi328xi330xi335xi-kw-coilover-kit-variant-1-v1/,"E90/E92 325xi/328xi/330xi/335xi KW Coilover Kit - Variant 1 (V1)
  ...",361394,10220048,"$1,589.00",https://www.turnermotorsport.com/c-554-bmw-coilovers#,The Variant 1 is KW's basic simple and effective coil over kit that is still packed with lots of features -,,,,Fitment Note:,This item fits the following BMWs:,
https://www.turnermotorsport.com/p-555860-br-series-coilover-suspension-kit/,BC Racing BR Series Coilover Suspension Kit - E30 318i/is 325e/es/i/...,555860,I-04-BR,"$1,030.00",https://www.turnermotorsport.com/c-554-bmw-coilovers#,Looking for coilovers that will provide reliability on street driven vehicles but are also capable of feeding your weekend track demon's desire for performance? BC Racing's BR Series coilover kit may be just the thing for you.,30 Levels of Simultaneous Compression and Rebound Dampening,2 inch minimum and 3+ Inches of total potential drop,Specs and Features:,,,
https://www.turnermotorsport.com/p-554771-br-series-coilover-suspension-kit/,"BC Racing BR Series Coilover Suspension Kit - E92 328i 335i/is
    ...",554771,I-18-BR,"$1,030.00",https://www.turnermotorsport.com/c-554-bmw-coilovers#,Looking for coilovers that will provide reliability on street driven vehicles but are also capable of feeding your weekend track demon's desire for performance? BC Racing's BR Series coilover kit may be just the thing for you.,30 Levels of Simultaneous Compression and Rebound Dampening,2 inch minimum and 3+ Inches of total potential drop,,,,
https://www.turnermotorsport.com/p-591077-br-series-coilover-suspension-kit-extreme-low/,BC Racing BR Series Extreme Low Coilovers - E92 328i 335i/is E90 325...,591077,I-50-BR,"$1,030.00",https://www.turnermotorsport.com/c-554-bmw-coilovers#,Looking for coilovers that will provide reliability on street driven vehicles but are also capable of feeding your weekend track demon's desire for performance? BC Racing's BR Series coilover kit may be just the thing for you.,,,,,,
https://www.turnermotorsport.com/p-555835-br-series-coilover-suspension-kit/,BC Racing BR Series Coilover Suspension Kit - F30 xDrive 320i 328d 3...,555835,I-41-BR,"$1,030.00",https://www.turnermotorsport.com/c-554-bmw-coilovers#,Looking for coilovers that will provide reliability on street driven vehicles but are also capable of feeding your weekend track demon's desire for performance? BC Racing's BR Series coilover kit may be just the thing for you.,30 Levels of Simultaneous Compression and Rebound Dampening,2 inch minimum and 3+ Inches of total potential drop,Specs and Features:,,,For vehicles with 3-Bolt Top Mounts
https://www.turnermotorsport.com/p-341218-tms341218/,Bilstein B14 PSS Coil-Over Suspension - E39 540i M5,341218,47-111264,"$1,080.00",https://www.turnermotorsport.com/c-554-bmw-coilovers#,"The Bilstein B14 PSS Suspension allows adjustable vehicle ride height without the expense of a fully adjustable damping system. This system features both coilover and standard mono-tube gas pressure shock or struts with performance level valving for application specific, progressive rate coil springs.",,,,,,
https://www.turnermotorsport.com/p-555859-br-series-coilover-suspension-kit/,BC Racing BR Series Coilover Suspension Kit - E30 318i/is 325e/es/i/...,555859,I-07-BR,"$1,030.00",https://www.turnermotorsport.com/c-554-bmw-coilovers#,Looking for coilovers that will provide reliability on street driven vehicles but are also capable of feeding your weekend track demon's desire for performance? BC Racing's BR Series coilover kit may be just the thing for you.,Aluminum and Rubber Rear Mounts,Valved specifically to spring style and rate,,,All OE style brackets and mounting for perfect fit,For vehicles with a 51mm front strut - Must be welded in to existing suspension. Extreme Low by Default from BC Racing.
https://www.turnermotorsport.com/p-401902-isc-coilover-covers-pair/,ISC Suspension 370mm Coilover Cover Pair - BMW & MINI,401902,ISC370MMCOVERS,$55.00,https://www.turnermotorsport.com/c-554-bmw-coilovers#,"ISC Suspension Coilover Covers are specifically designed to protect your coilovers from the elements and increase the lifespan of the suspension components. The 3mm neoprene material these are constructed of keep out sand, dirt, and salt and keep out water that would all otherwise cause rust and damage to the threads, seals, and any exposed metal components.",,,,,,
https://www.turnermotorsport.com/p-555856-br-series-coilover-suspension-kit/,"BC Racing BR Series Coilover Suspension Kit - E82/88 128i 135i
    ...",555856,I-11-BR,"$1,030.00",https://www.turnermotorsport.com/c-554-bmw-coilovers#,Looking for coilovers that will provide reliability on street driven vehicles but are also capable of feeding your weekend track demon's desire for performance? BC Racing's BR Series coilover kit may be just the thing for you.,30 Levels of Simultaneous Compression and Rebound Dampening,2 inch minimum and 3+ Inches of total potential drop,,,,
https://www.turnermotorsport.com/p-201434-hr-rear-ride-height-adjusterspring-perch-for-60mm-id-springs-e90e92f30f32e82/,H&R Rear Ride Height Adjuster/Spring Perch (for 60mm I.D. spring...,201434,HR92-K-X141A01,$89.95,https://www.turnermotorsport.com/c-554-bmw-coilovers#,"H&R makes it easy to adjust the rear ride height on cars with 60mm ID springs (road racing springs, H&R coil over springs -- not stock springs or any sport spring). These lower spring perches fit below the spring on the rear control arm (will not work on M3 arms). Adjustment is made by unbolting the shock to allow the spring to move freely, then turning the spring perch to raise or lower the ride height.      For more information on E9X H&R height adjusters and coil overs,   .     2011    1M Coupe  2006-2012    325i 328i 330i 335d 335i - Sedan  2006-2012    325i 328i - Wagon  2007-2013    328i 335i 335is - Coupe  2007-2013    328i 335i 335is - Convertible  2012+   320i 328d 328i 335i - Sedan  2013+   428i 435i - Coupe",,,,,,
https://www.turnermotorsport.com/p-597006-b16-damptronic-suspension-kit/,Bilstein B16 (DampTronic) - Suspension Kit,597006,49-255935,"$2,607.00",https://www.turnermotorsport.com/c-554-bmw-coilovers#,"The manually adjustable damping mono-tube gas shock absorbers feature 10-stage precise compression and rebound settings, from comfort to competition. The threaded body allows accurate adjustability of the front and rear progressive rate springs to achieve the vehicle ride height, center of gravity and level of performance handling desired.",,,,,,For Vehicles with EDC
https://www.turnermotorsport.com/p-638474-ecs-adjustable-coilovers-e36-m3/,ECS Performance Adjustable Coilover System - E36 M3,638474,029305ECS01,$734.30,https://www.turnermotorsport.com/c-554-bmw-coilovers#,"The ECS Tuning Performance Coilover System provides a sport-tuned, height, damping, and body adjustable suspension with substantial performance benefits using high-quality materials and coatings to replace your worn suspension, all while giving your vehicle that perfect ride height!",,,,,,
https://www.turnermotorsport.com/p-555854-br-series-coilover-suspension-kit/,"BC Racing BR Series Coilover Suspension Kit - E90/2 M3 (with EDC)
 ...",555854,I-13-BR,"$1,030.00",https://www.turnermotorsport.com/c-554-bmw-coilovers#,Looking for coilovers that will provide reliability on street driven vehicles but are also capable of feeding your weekend track demon's desire for performance? BC Racing's BR Series coilover kit may be just the thing for you.,30 Levels of Simultaneous Compression and Rebound Dampening,2 inch minimum and 3+ Inches of total potential drop,,,,
https://www.turnermotorsport.com/p-361402-e36-m3-1995-1999-kw-coilover-kit-variant-2-v2/,E36 M3 1995-1999 KW Coilover Kit - Variant 2 (V2),361402,15220012,"$1,589.00",https://www.turnermotorsport.com/c-554-bmw-coilovers#,"This system intended for the experienced E36 M3 driver who wants to determine the individual lowering of his vehicle, and also wants to make setup adjustments. The adjustable rebound damper allows adjusting the pitch and roll of the car and therefore the driving pleasure can be adapted to your requirements.",,,,,,
https://www.turnermotorsport.com/p-402538-br-series-coilover-suspension-kit/,BC Racing BR Series Coilover Suspension Kit - E60 525xi 528xi 530xi ...,402538,I-86-BR,"$1,030.00",https://www.turnermotorsport.com/c-554-bmw-coilovers#,Looking for coilovers that will provide reliability on street driven vehicles but are also capable of feeding your weekend track demon's desire for performance? BC Racing's BR Series coilover kit may be just the thing for you.,30 Levels of Simultaneous Compression and Rebound Dampening,2 inch minimum and 3+ Inches of total potential drop,,,,
https://www.turnermotorsport.com/p-11551-e36-m3-1995-1999-kw-coilover-kit-v1-variant-1/,E36 M3 1995-1999 KW Coilover Kit - Variant 1 (V1),11551,10220012,"$1,169.00",https://www.turnermotorsport.com/c-554-bmw-coilovers#,The Variant 1 is KW's basic simple and effective coil over kit that is still packed with lots of features -,,,,,,
https://www.turnermotorsport.com/p-11726-hr-rear-ride-height-adjusterspring-perch-for-60mm-id-springs-e46-3-series-1999-2005/,H&R Rear Ride Height Adjuster/Spring Perch (for 60mm I.D. spring...,11726,HR92-K-X-011A01,$89.95,https://www.turnermotorsport.com/c-554-bmw-coilovers#,"H&R makes it easy to adjust the rear ride height on cars with 60mm ID springs (road racing springs, H&R coil over springs -- not stock springs or any sport spring). These lower spring perches fit below the spring on the rear control arm. Adjustment is made by unbolting the shock to all the spring to move freely, then turning the spring perch to raise or lower the ride height.      For more information on H&R height adjusters and coil overs,   .     1999-2005    323i 323ci 325i 325ci 325xi 328i 328ci 330i 330ci 330xi M3",,,,,,
https://www.turnermotorsport.com/p-344140-e9x-m3-bilstein-pss10-coil-over-suspension/,E9X M3 Bilstein PSS10 Coil Over Suspension,344140,48-145701,"$2,079.00",https://www.turnermotorsport.com/c-554-bmw-coilovers#,"The Bilstein B16 system puts you in complete control, providing the kind of precise suspension tuning formerly available only on race cars. From a weekend of competition to daily driving, this system provides perfect handling performance for every situation.",,,,,,
https://www.turnermotorsport.com/p-348221-hr-50415/,E46 M3 H&R Coilover Suspension,348221,50415,"$1,350.95",https://www.turnermotorsport.com/c-554-bmw-coilovers#,"The H&R Coil Over kit takes the traditional shock/spring package one step further. H&R combines their progressive-rate springs with specially valved shocks and adds height adjusters that let you set the ride height to your own personal tastes. These coil overs are designed for street use with progressive rate springs that start out soft and stiffen as they are compressed. This helps to keep the ride compliant while still giving better handling and balance.   H&R designs each suspension to work as a coil over. This means that the correct amount of travel has been built into each shock. And the shocks are valved specifically for the spring rates to give a tight and controlled ride without being harsh or ultra-stiff. Each H&R coil over is TUV tested and approved and meets ISO quality standards. These are used with the stock strut and shock mounts for a quick and easy install.   Height adjustment range:  F: -1.2-2.3""  R: -.75-1.5""     2001-2006    M3",,,,,,
https://www.turnermotorsport.com/p-404036-performance-road-and-track-dfv-coilover-kit/,Ohlins Road And Track DFV Coilovers - E9X M3,404036,BMSMI40OH,"$2,590.00",https://www.turnermotorsport.com/c-554-bmw-coilovers#,"Ohlins Racing has a long history dating back to 1976 of providing premium motorcycle and automotive suspension systems to numerous racing teams, individual racers, and OE brands such as BMW Motorsport, Audi, Lamborghini. Pagani, Ducati and Kawasaki. Over time, thanks to extensive R&D, testing, and tuning, their products have evolved into some of the highest quality suspension systems in the world, providing years of flawless operation on both the street and the track.",Rear Spring Rating: 686 lbs/in  ( 12 kg/mm),HERE.,Specs:,Fits the following BMWs:,E9X BMW,
https://www.turnermotorsport.com/p-568113-bc-racing-extreme-low/,BC Racing BR Series Extreme Low Coilovers - E46 Non-M RWD,568113,I-02E-BR,"$1,030.00",https://www.turnermotorsport.com/c-554-bmw-coilovers#,"Looking for coilovers that will provide reliability on street driven vehicles but are also capable of feeding your weekend track demon's desire for performance? BC Racing's BR Series coilover kit may be just the thing for you. BR Series coilovers are the most popular and versatile option offered by BC racing, offering features such as 30-level dampening adjustment (simultaneous compression and rebound control), linear springs where possible, and a minimum of 2 inches ride height drop, up to 5"". To ensure performance, comfort, and quality, all BR Series kits are Dyno tested during the design stage to determine the best valving and spring rates, then installed and tested for a minimum of 6 months. This kit features mounts and brackets that are fully compatible with all stock mounting points and components. The upper shock/strut mounts are all constructed of 6061-T6 Aluminum for strength and weight savings. BC Racing design 1 of 3 types of upper mounts for each vehicle: Caster/Camber Plates (+/- 3* camber), Camber Plates (+/- 3* camber), and Rubber Mount Plates (NVH reduction). The included mount option for this kit is shown in the kit specs and features below. Lower shock mounts are powder coated for corrosion protection and constructed of either 6061-T6 aluminum that has been milled from a single piece (fork or bolt eye mount) or of STKM13C steel with all brackets welded robotically. The included springs come in one of 3 styles: linear, S-barrel, and V-barrel. Linear springs are used in most applications unless limited by the OE design that does not allow the use of linear springs. All spring options are made from SAE9254 steel and have a zinc coating applied under the powder coating for increased spring corrosion protection and long term reliability. All shock bodies used in the BR Series coilovers use a 53mm shock body (unless noted otherwise) for added strength, performance, and increased fluid capacity. All shocks are then powder coated black chrome for clean styling and corrosion protection. Specs and Features: 6k Front & 12k Rear Spring Rate V-Barrel front & Linear rear springs Valved specifically to spring style and rate Camber Plate Front Mounts Aluminum and Rubber Front Mounts Black Powder Coated Components All OE style brackets and mounting for perfect fit 30 Levels of Simultaneous Compression and Rebound Dampening Extreme Drop version allows additional 1-1.5"" lowering over the standard 2-4"" lowering from traditional BR suspension kits Shocks are 1"" shorter in length and springs are specifically selected for greater lowering capabilities Great for Track, Street, and any other conditions",,,,,,
https://www.turnermotorsport.com/p-568089-bc-racing-extreme-low/,"BC Racing BR Series Extreme Low Coilovers - E34 525i 530i 535i 540i
...",568089,I-28E-BR,"$1,030.00",https://www.turnermotorsport.com/c-554-bmw-coilovers#,"Looking for coilovers that will provide reliability on street driven vehicles but are also capable of feeding your weekend track demon's desire for performance? BC Racing's BR Series coilover kit may be just the thing for you. BR Series coilovers are the most popular and versatile option offered by BC racing, offering features such as 30-level dampening adjustment (simultaneous compression and rebound control), linear springs where possible, and a minimum of 2 inches ride height drop, up to 5"". To ensure performance, comfort, and quality, all BR Series kits are Dyno tested during the design stage to determine the best valving and spring rates, then installed and tested for a minimum of 6 months. This kit features mounts and brackets that are fully compatible with all stock mounting points and components. The upper shock/strut mounts are all constructed of 6061-T6 Aluminum for strength and weight savings. BC Racing design 1 of 3 types of upper mounts for each vehicle: Caster/Camber Plates (+/- 3* camber), Camber Plates (+/- 3* camber), and Rubber Mount Plates (NVH reduction). The included mount option for this kit is shown in the kit specs and features below. Lower shock mounts are powder coated for corrosion protection and constructed of either 6061-T6 aluminum that has been milled from a single piece (fork or bolt eye mount) or of STKM13C steel with all brackets welded robotically. The included springs come in one of 3 styles: linear, S-barrel, and V-barrel. Linear springs are used in most applications unless limited by the OE design that does not allow the use of linear springs. All spring options are made from SAE9254 steel and have a zinc coating applied under the powder coating for increased spring corrosion protection and long term reliability. All shock bodies used in the BR Series coilovers use a 53mm shock body (unless noted otherwise) for added strength, performance, and increased fluid capacity. All shocks are then powder coated black chrome for clean styling and corrosion protection. Specs and Features: 6k Front & 12k Rear Spring Rate V-Barrel front & Linear rear springs Valved specifically to spring style and rate Camber Plate Front Mounts Aluminum and Rubber Front Mounts Black Powder Coated Components All OE style brackets and mounting for perfect fit 30 Levels of Simultaneous Compression and Rebound Dampening Extreme Drop version allows additional 1-1.5"" lowering over the standard 2-4"" lowering from traditional BR suspension kits Shocks are 1"" shorter in length and springs are specifically selected for greater lowering capabilities Great for Track, Street, and any other conditions",,,,,,
https://www.turnermotorsport.com/p-404004-2000-2006-bmw-m3-e46/,Ohlins Road And Track DFV Coilovers - E46 M3,404004,BMSMI30,"$2,590.00",https://www.turnermotorsport.com/c-554-bmw-coilovers#,"Ohlins Racing has a long history dating back to 1976 of providing premium motorcycle and automotive suspension systems to numerous racing teams, individual racers, and OE brands such as BMW Motorsport, Audi, Lamborghini. Pagani, Ducati and Kawasaki. Over time, thanks to extensive R&D, testing, and tuning, their products have evolved into some of the highest quality suspension systems in the world, providing years of flawless operation on both the street and the track. Ohlins' latest automotive suspension system, the DFV (Dual Flow Valve) Road and Track Coilover Kit, has bridged the gap between comfortable stock suspension and track focused coilover kits. These kits provide a ride that glides over typical bumps and dips in the road, all without the typical hard rattle and harsh feel of usual coilovers, and turn in tight and maintain tire grip and traction in corners significantly better than stock suspension ever could. This is all thanks to the spring rate chosen and Ohlins and their signature Dual Flow Valve. The DFV maintains comfort and agility by giving the same characteristics for both rebound and compression, allowing the wheel and tire to maintain constant contact with the road/track for maximum control. The Dual Flow Valve works by controlling shock fluid flow based on resistance and impact velocity. This is controlled in both compression and rebound, giving the quick shock operation that helps maintain traction. At low shaft travel speeds, oil flows mostly through the shaft jet bleed. At higher shaft speeds, oil flows mostly through the compression/rebound ports in the piston. At very high shaft speeds, or during sudden accelerations from potholes or large bumps in the road, oil can then escape through the ports in the DFV, absorbing a large amount of energy that would otherwise throw off the balance and control of the vehicle and keeping the tire planted firmly on the ground. With all three compression and rebound ports working together according to pressure and shaft speed, the result is the notorious premium suspension feel that only Ohlins can offer. In addition to managing the rebound and compression control, coilovers must also properly address heat changes in the shock oil. As the shock is pushed harder and longer, the oil quickly heats up due to friction and compression, and the oils flow characteristics change. The hotter the oil is, the easier it is for it to travel through ports and valves. To prevent this typical fade in control, Ohlins has implemented a temperature controlled needle bleed valve system that will expand as temperatures rise, slowly increasing restriction in the fluids flow through the valve gap. This produces a consistent dampening rate that maintains the vehicle's suspension characteristics lap after lap, turn after turn, no matter how hard you push your suspension's capabilities. Features: DFV (Dual Flow Valve) Adjustable ride-height Fully rebuildable Corrosion salt spray tested (ISO 9227) Includes hardware and installation instructions 2 year Limited Warranty Specs: Front Spring Rating: 400 lbs/in ( 7 kg/mm) Rear Spring Rating: 630 lbs/in ( 11 kg/mm)",,,,,,
