normal_image src,lazy_href,lazy_href href,part_number 2,key_details,key_details 2,key_details 3,final-price,ca-content-container,ca-price-focus,ca-link,ships,ca-link 2,text 3,key_details 4,key_details 5,key_details 6,hover_image src,heart src,productGalleryOverride src,productGalleryOverride src 2,productGalleryOverride src 3,key_details 7,key_details 8,key_details 9,ca-bold,ca-sub-content-container,ca-sub-content-container 2,ca-sub-content-container 3,ca-link 3,ca-link 4,key_details 10,ellip,morelink,morelink href,key_details 11,key_details 12
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MjEwNjV8aW1hZ2UvanBlZ3xoOGEvaGNlLzExNjA3NjUyMTcxODA2LmpwZ3wzMDAwYzdhZGZmYzFmMzE3NDc3ODRmNDI0YTM1OWRiMTUwYWE4YzUwYzFhMTE2ZTk1MjFjNDRiYmQ5NGExZjJj/9B4767C9-23DF-47BC-BD4D-0BE8957B49F9.jpg,RADEON RX560 4GB GDDR5 4M,https://www.lenovo.com/us/en/p/accessories-and-software/graphics-cards/graphics_cards/78015690,78015690,High performance,Secure cable connections,Low-profile design,$239.99,6 Months Promotional Financing Available* On purchases of  or more made with the Lenovo Credit Card,$500,Learn More,Ships FREE in 1-3 business days,Learn More,$7,High performance,Secure cable connections,Low-profile design,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MjEwNjV8aW1hZ2UvanBlZ3xoOGEvaGNlLzExNjA3NjUyMTcxODA2LmpwZ3wzMDAwYzdhZGZmYzFmMzE3NDc3ODRmNDI0YTM1OWRiMTUwYWE4YzUwYzFhMTE2ZTk1MjFjNDRiYmQ5NGExZjJj/9B4767C9-23DF-47BC-BD4D-0BE8957B49F9.jpg,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,,,,,,,,,,,,,,,
https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTg3ODl8aW1hZ2UvanBlZ3xoNTUvaDQwLzExNjA3NDQ1NDM4NDk0LmpwZ3xmYTQwZjFjNmI0NDc3YzZiMjQ0YzkyMjM0YjdlZmE1MjRlMDI1MDZkZDEwYTQzNmExZmRhY2IxOWVkMmY4NjIx/BFBA1169-05F7-4EB6-B769-D6E565913A3D.jpg,RADEON 7750 6M 2GB GDDR5,https://www.lenovo.com/us/en/p/accessories-and-software/graphics-cards/graphics_cards/78015683,78015683,GCN architecture,DirectX 11-capable graphics,9th generation programmable hardware tessellation units,$288.99,6 Months Promotional Financing Available* On purchases of  or more made with the Lenovo Credit Card,$500,Learn More,Ships FREE in 1-3 business days,Learn More,$8,GCN architecture,DirectX 11-capable graphics,9th generation programmable hardware tessellation units,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTg3ODl8aW1hZ2UvanBlZ3xoNTUvaDQwLzExNjA3NDQ1NDM4NDk0LmpwZ3xmYTQwZjFjNmI0NDc3YzZiMjQ0YzkyMjM0YjdlZmE1MjRlMDI1MDZkZDEwYTQzNmExZmRhY2IxOWVkMmY4NjIx/BFBA1169-05F7-4EB6-B769-D6E565913A3D.jpg,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,Accelerated multi-threading,Accelerated multi-threading,Image quality enhancement technology,,,,,,,Image quality enhancement technology,...,See More Details,https://www.lenovo.com/us/en/p/accessories-and-software/graphics-cards/graphics_cards/78015683,Up to 24x multi-sample and super-sample anti-aliasing modes,Up to 24x multi-sample and super-sample anti-aliasing modes
https://p2-ofp.static.pub/ShareResource/560x450/SSNP/4X60N86660/4X60N86660-560x450-01.e098523e9a1c1b22.png,ThinkStation Nvidia Quadro P1000 4GB GDDR5 Mini DP * 4 Graphics Card with LP Bracket,https://www.lenovo.com/us/en/p/accessories-and-software/graphics-cards/graphics_cards/4X60N86660,4X60N86660,"""ThinkStation Nvidia Quadro P1000 Graphics card with LP bracket comes with low-proflie bracket, compatible with ThinkStation Slim form factor machines. 
It is powered by Nvidia Pascal Grpahics Processing Unit(GPU) technology and 4GB of GDDR5 memory. It is targeted for professional CAD, DCC and visualization designers, engineers and users. 
The ThinkStation Nvidia Quadro P1000 Graphics card with LP Bracket delivers amazing creative experience across a variety of professional 3D applications. 
""","""ThinkStation Nvidia Quadro P1000 Graphics card with LP bracket comes with low-proflie bracket, compatible with ThinkStation Slim form factor machines. 
It is powered by Nvidia Pascal Grpahics Processing Unit(GPU) technology and 4GB of GDDR5 memory. It is targeted for professional CAD, DCC and visualization designers, engineers and users. 
The ThinkStation Nvidia Quadro P1000 Graphics card with LP Bracket delivers amazing creative experience across a variety of professional 3D applications. 
""",,$419.99,6 Months Promotional Financing Available* On purchases of  or more made with the Lenovo Credit Card,$500,Learn More,Ships in 3+ months,Learn More,$12,,,,,,,,,,,,,,,,,,,,,,,
https://p4-ofp.static.pub/ShareResource/560x450/SSNP/4X60N86661/4X60N86661-560x450-01.977277f906a481d9.png,ThinkStation Nvidia Quadro P1000 4GB GDDR5 Mini DP * 4 Graphics Card with HP Bracket,https://www.lenovo.com/us/en/p/accessories-and-software/graphics-cards/graphics_cards/4X60N86661,4X60N86661,"""Key performance features and capabilities include:","- 4GB GDDR5 graphics memory allows desingers and amators to model, store and render characters and scenes at unprecedented scale, complexity and richness",- 640 streaming multiprocessor cores deliver incredible performance with a peak power consumption of 47W in a cool and quiet single slot form factor,$419.99,6 Months Promotional Financing Available* On purchases of  or more made with the Lenovo Credit Card,$500,Learn More,Ships in 2+ months,Learn More,$12,- Supports four simultaneous displays and up to 5K resolution with VESA DisplayPort 1.4,"- comes with high-profile bracket, 100% compatib","""Key performance features and capabilities include:",,,,,,"- 4GB GDDR5 graphics memory allows desingers and amators to model, store and render characters and scenes at unprecedented scale, complexity and richness",- 640 streaming multiprocessor cores deliver incredible performance with a peak power consumption of 47W in a cool and quiet single slot form factor,- Supports four simultaneous displays and up to 5K resolution with VESA DisplayPort 1.4,,,,,,,"- comes with high-profile bracket, 100% compatib",...,See More Details,https://www.lenovo.com/us/en/p/accessories-and-software/graphics-cards/graphics_cards/4X60N86661,,
https://p2-ofp.static.pub/ShareResource/560x450/SSNP/4X61E26088/4X61E26088-560x450-01.a89dee0d27962f4e.png,Nvidia T1000 4GB mini DP*4 Graphics Card with HP bracket,https://www.lenovo.com/us/en/p/accessories-and-software/graphics-cards/graphics_cards/4X61E26088,4X61E26088,4GB of GDDR6 memory,PCI Express Interface: PCIe 3.0 x 16,896 streaming multiprocessor(SMX) cores deliver incredible performance with peak power consumption of 50W,$429.99,6 Months Promotional Financing Available* On purchases of  or more made with the Lenovo Credit Card,$500,Learn More,Ships in 4+ months,Learn More,$12,4GB of GDDR6 memory,PCI Express Interface: PCIe 3.0 x 16,896 streaming multiprocessor(SMX) cores deliver incredible performance with peak power consumption of 50W,https://p2-ofp.static.pub/ShareResource/560x450/SSNP/4X61E26088/4X61E26088-560x450-02.b80addd520cfce4c.png,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,Support 4 simultaneous display and up to 5K resolution with VESA® DisplayPort® connectors,Support 4 simultaneous display and up to 5K resolution with VESA® DisplayPort® connectors,,,,,,,,,,,,,
https://p1-ofp.static.pub/ShareResource/560x450/SSNP/4X60N86662/4X60N86662-560x450-01.f8735cc51d7f7d50.png,ThinkStation Nvidia Quadro P2000 5GB GDDR5 DP * 4 Graphics Card with HP Bracket,https://www.lenovo.com/us/en/p/accessories-and-software/graphics-cards/graphics_cards/4X60N86662,4X60N86662,"ThinkStation Nvidia Quadro P2000 Graphics card with HP bracket comes with high-proflie bracket, compatible with ThinkStation tower form factor machines. 
It is powered by Nvidia Pascal Grpahics Processing Unit(GPU) technology and 5GB of GDDR5 memory. It is targeted for professional CAD, DCC and visualization designers, engineers and users. 
The ThinkStation Nvidia Quadro P2000 Graphics card with HP Bracket delivers amazing creative experience across a variety of professional 3D applications.","ThinkStation Nvidia Quadro P2000 Graphics card with HP bracket comes with high-proflie bracket, compatible with ThinkStation tower form factor machines. 
It is powered by Nvidia Pascal Grpahics Processing Unit(GPU) technology and 5GB of GDDR5 memory. It is targeted for professional CAD, DCC and visualization designers, engineers and users. 
The ThinkStation Nvidia Quadro P2000 Graphics card with HP Bracket delivers amazing creative experience across a variety of professional 3D applications.",,$549.99,,,See How,Ships in 3+ months,Prequalify,$16,,,,,,,,,,,,$92/mo,suggested payments,w/6 mo,promo financing,See How,Prequalify,,,,,,
https://p4-ofp.static.pub/ShareResource/560x450/SSNP/4X60Z97113/4X60Z97113-560x450-01.f32142aa8c73b503.png,ThinkStation Nvidia Quadro RTX4000 8GB GDDR6 Graphics Card,https://www.lenovo.com/us/en/p/accessories-and-software/graphics-cards/graphics_cards/4X60Z97113,4X60Z97113,"2304 NVIDIA CUDA Cores, 288 NVIDIA Tensor Cores, 36 NVIDIA RT Cores","8GB GDDR6 memory, up to 416GB/s memory bandwidth",43T RTX-OPS,"$1,149.99",,,See How,Ships FREE in 4-7 business days,Prequalify,$34,"2304 NVIDIA CUDA Cores, 288 NVIDIA Tensor Cores, 36 NVIDIA RT Cores","8GB GDDR6 memory, up to 416GB/s memory bandwidth",43T RTX-OPS,,,,,,Max. Power Consumption: 160W,Max. Power Consumption: 160W,3x DisplayPort 1.4,$192/mo,suggested payments,w/6 mo,promo financing,See How,Prequalify,3x DisplayPort 1.4,,,,1x VirtualLink.,1x VirtualLink.
https://p4-ofp.static.pub/ShareResource/560x450/SSNP/4X60N04886/4X60N04886-560x450-01.d0f7b507afec5c5c.png,"ThinkStation Nvidia Quadro P5000 DPx4, DVI-D x1 16GB GDDR5 Graphics Card",https://www.lenovo.com/us/en/p/accessories-and-software/graphics-cards/graphics_cards/4X60N04886,4X60N04886,"16GB ultra-fast GDDR5X graphics memory allows designers and animators to model, store and render characters and scenes at unprecedented scaleComplexity and richness 2,560 streaming multiprocessor (SMX) cores deliver faster visualisation and computer horsepower to provide a more streamlined workflow to interact, Create, and collaborate Supports four simultaneous displays and up to 5K resolution with DisplayPort 1.4 SYNC +Ultra low latency video I/O and support for large scale visualisations",,,"$2,419.99",,,See How,Ships in 4+ months,Prequalify,$72,"16GB ultra-fast GDDR5X graphics memory allows designers and animators to model, store and render characters and scenes at unprecedented scaleComplexity and richness 2,560 streaming multiprocessor (SMX) cores deliver faster visualisation and computer horsepower to provide a more streamlined workflow to interact, Create, and collaborate Supports four simultaneous displays and up to 5K resolution with DisplayPort 1.4 SYNC +Ultra low latency video I/O and support for large scale visualisations",,,,,,,,,,,$404/mo,suggested payments,w/6 mo,promo financing,See How,Prequalify,,...,See More Details,https://www.lenovo.com/us/en/p/accessories-and-software/graphics-cards/graphics_cards/4X60N04886,,
https://p3-ofp.static.pub/ShareResource/560x450/SSNP/4X60U98733/4X60U98733-560x450-01.4b89fef4f120ced9.png,ThinkStation Nvidia Quadro RTX5000 16GB GDDR6 Graphics Card with Long Extender,https://www.lenovo.com/us/en/p/accessories-and-software/graphics-cards/graphics_cards/4X60U98733,4X60U98733,Turing GPU,"3,072 NVIDIA® CUDA® Cores 384 NVIDIA® Tensor Cores 48 NVIDIA® RT Cores","GPU Memory: 16GB GDDR6, up to 448GB/s Memory Bandwidth","$2,499.99",,,See How,Ships in 4+ months,Prequalify,$75,62T RTX-OPS,8 Giga Rays/s Rays Cast,Turing GPU,,,,,,"3,072 NVIDIA® CUDA® Cores 384 NVIDIA® Tensor Cores 48 NVIDIA® RT Cores","GPU Memory: 16GB GDDR6, up to 448GB/s Memory Bandwidth",62T RTX-OPS,$417/mo,suggested payments,w/6 mo,promo financing,See How,Prequalify,8 Giga Rays/s Rays Cast,...,See More Details,https://www.lenovo.com/us/en/p/accessories-and-software/graphics-cards/graphics_cards/4X60U98733,"11.2 TFLOPS FP32 Performance, 22.3 TFLOPS FP16 Performance,178.4TOPS INT8 Performance",89.2 TFLOPS of Tensor Operation
https://p4-ofp.static.pub/fes/cms/2021/09/28/g2kbhnxop3h25muv4gteldip2pthbc611283.png,Nvidia RTX A6000 48GB GDDR6 Graphics Card,https://www.lenovo.com/us/en/p/accessories-and-software/graphics-cards/graphics_cards/4X61D17227,4X61D17227,"Ultra-fast 48GB GDDR6 memory with error-correcting code, scalable up to 96 GB with NVLink",Max. Power Consumption: 300W,4x DisplayPort 1.4,"$6,499.99",,,See How,Ships in 4+ months,Prequalify,$195,"Ultra-fast 48GB GDDR6 memory with error-correcting code, scalable up to 96 GB with NVLink",Max. Power Consumption: 300W,4x DisplayPort 1.4,https://p2-ofp.static.pub/fes/cms/2021/09/28/o6e6benh3l8dbnb394d11ms3umscwo460949.png,https://p1-ofp.static.pub/fes/cms/2020/12/25/76apjfkml79bg5qcf172tvt0bw0c8s348607.png,https://p2-ofp.static.pub/fes/cms/2021/07/06/2h8n4ofixc8g8i94vopfat048ld37m944694.svg,https://p3-ofp.static.pub/fes/cms/2021/07/06/efrjjv1rz2xiuvpm0emnwj6y2gmai3506628.svg,https://p2-ofp.static.pub/fes/cms/2021/07/06/wxdfgadg28utnas6ca5d28oot1lcxj806083.svg,NVIDIA’s Ampere architecture delivers the highest performance and performance per watt,NVIDIA’s Ampere architecture delivers the highest performance and performance per watt,Second-Generation RT Cores deliver massive speedups for workloads and also speeds up the rendering of ray-traced motion blur for faster results with greater visual accuracy,$1084/mo,suggested payments,w/6 mo,promo financing,See How,Prequalify,Second-Generation RT Cores deliver massive speedups for workloads and also speeds up the rendering of ray-traced motion blur for faster results with greater visual accuracy,...,See More Details,https://www.lenovo.com/us/en/p/accessories-and-software/graphics-cards/graphics_cards/4X61D17227,NVIDIA NVLink increased GPU-to-GPU interconnect bandwidth provides a single scalable,NVIDIA NVLink increased GPU-to-GPU interconnect bandwidth provides a single scalable
https://p4-ofp.static.pub/ShareResource/560x450/SSNP/4X60X01143/4X60X01143-560x450-01.174822d418ecaabb.png,ThinkStation Nvidia Quadro RTX8000 48GB GDDR6 Graphics Card,https://www.lenovo.com/us/en/p/accessories-and-software/graphics-cards/graphics_cards/4X60X01143,4X60X01143,"ThinkStation Nvidia Quadro RTX8000 48GB GDDR6 Graphics Card is fully qualified on selected ThinkStation Machines. ;
Experience unbeatable performance, power and memory with the ThinkStation Nvidia Quadro RTX8000 48GB GDDR6 Graphics Card, the world's most powerful graphics card and perfect match with your ThinkStation Workstation machines.","ThinkStation Nvidia Quadro RTX8000 48GB GDDR6 Graphics Card is fully qualified on selected ThinkStation Machines. ;
Experience unbeatable performance, power and memory with the ThinkStation Nvidia Quadro RTX8000 48GB GDDR6 Graphics Card, the world's most powerful graphics card and perfect match with your ThinkStation Workstation machines.",,"$7,499.99",,,See How,Ships FREE in 4-7 business days,Prequalify,$225,,,,,,,,,,,,$1250/mo,suggested payments,w/6 mo,promo financing,See How,Prequalify,,,,,,
