web-scraper-order,web-scraper-start-url,catagory,catagory-href,name
1632251324-141,https://www.officedepot.com/cm/brand/hp,HP Monitors,https://www.officedepot.com/a/browse/hp-monitors/N=5+894047/?cm_sp=brand-_-all-monitors-online-store-hp-_-hp,"HP Business Z27x G2 27"" QHD LED LCD Monitor - 16:9 - Black - 27"" Class - 2560 x ..."
1632251324-102,https://www.officedepot.com/cm/brand/hp,HP Monitors,https://www.officedepot.com/a/browse/hp-monitors/N=5+894047/?cm_sp=brand-_-all-monitors-online-store-hp-_-hp,"HP V24i 23.8"" FHD LED Monitor, 9RV15AA#ABA"
1632252777-1084,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,HP EliteDesk 800 G6 Desktop Computer - Intel Core i7 10th Gen i7-10700T Octa-cor...0.0 out of 5 stars.
1632252777-796,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,Line HP Elite Slice G2 Audio Ready with Zoom Rooms - USFF - Core 7700T / 2.9 GHz...
1632252830-1212,https://www.officedepot.com/cm/brand/hp,HP Laptops,https://www.officedepot.com/a/browse/hp-laptop-computers/N=5+690296/?cm_sp=brand-_-laptops-online-store-hp-_-hp,"HP Probook 640 G1 Refurbished Laptop, 14"" Screen, Intel® Core™ i5, 8GB Memory, 5..."
1632252777-1155,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,"HP EliteDesk 800 G1 Refurbished Desktop PC, 4th Gen Intel® Core™ i5, 8GB Memory,...0.0 out of 5 stars."
1632252830-1258,https://www.officedepot.com/cm/brand/hp,HP Laptops,https://www.officedepot.com/a/browse/hp-laptop-computers/N=5+690296/?cm_sp=brand-_-laptops-online-store-hp-_-hp,"HP ZBook Studio x360 G5 15.6"" Touchscreen 2 in 1 Mobile Workstation - Full HD - ...0.0 out of 5 stars."
1632252830-1220,https://www.officedepot.com/cm/brand/hp,HP Laptops,https://www.officedepot.com/a/browse/hp-laptop-computers/N=5+690296/?cm_sp=brand-_-laptops-online-store-hp-_-hp,"HP Probook 645 G1 Refurbished Laptop, 14"" Screen, AMD A6, 8GB Memory, 128GB Soli..."
1632252777-1039,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,HP Chromebox G2 - Mini - 1 x Celeron 3867U / 1.8 GHz - RAM 4 GB - SSD 32 GB - HD...3.6 out of 5 stars. 11 reviews
1632252777-855,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,"HP 22-c0030 All-In-One PC, 21.5"" Full HD Touch Screen, Intel® Core™ i3 Dual Core..."
1632252777-946,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,"HP EliteDesk 800 G3 Refurbished Desktop PC, Intel® Core™ i5, 16GB Memory, 256GB ..."
1632252830-1237,https://www.officedepot.com/cm/brand/hp,HP Laptops,https://www.officedepot.com/a/browse/hp-laptop-computers/N=5+690296/?cm_sp=brand-_-laptops-online-store-hp-_-hp,"HP EliteBook x360 1040 G7 14"" Touchscreen 2 in 1 Notebook - Intel Core i7 10th G...0.0 out of 5 stars."
1632252777-1094,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,HP EliteOne 800 G6 All-in-One Computer - Intel Core i5 10th Gen i5-10500 Hexa-co...
1632252777-746,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,"HP EliteDesk 705 G1 Refurbished Mini Desktop PC, AMD A6, 16GB Memory, 240GB Soli...4.0 out of 5 stars. 2 reviews"
1632252777-980,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,HP Z2 Mini G3 Workstation - 1 x Intel Xeon Quad-core 4 Core E3-1205 v6 3 GHz - 1...
1632252830-1255,https://www.officedepot.com/cm/brand/hp,HP Laptops,https://www.officedepot.com/a/browse/hp-laptop-computers/N=5+690296/?cm_sp=brand-_-laptops-online-store-hp-_-hp,HP ENVY x360 15-cn1075nr - Flip design - Core i7 8565U / 1.8 GHz - Win 10 Home 6...0.0 out of 5 stars.
1632251324-154,https://www.officedepot.com/cm/brand/hp,HP Monitors,https://www.officedepot.com/a/browse/hp-monitors/N=5+894047/?cm_sp=brand-_-all-monitors-online-store-hp-_-hp,"HP Z27u G3 27"" QHD LCD Monitor - 16:9 - 27"" Class - In-plane Switching (IPS) Tec..."
1632252777-761,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,HP Business Desktop ProDesk 400 G7 Desktop Computer - Intel Core i3 10th Gen i3-...
1632252777-1062,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,HP Elite Slice G2 Desktop Computer - Intel Core i5 7th Gen i5-7500T 2.70 GHz - 8...0.0 out of 5 stars.
1632252777-740,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,HP Z2 G5 Workstation - 1 x Intel Xeon -  W-1250 3.30 GHz - 16 GB RAM - 1 TB HDD ...0.0 out of 5 stars.
1632252777-1060,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,"HP ProDesk 600 G1 Refurbished Desktop PC, Intel® Core™ i3, 8GB Memory, 240GB Sol...0.0 out of 5 stars."
1632252830-1250,https://www.officedepot.com/cm/brand/hp,HP Laptops,https://www.officedepot.com/a/browse/hp-laptop-computers/N=5+690296/?cm_sp=brand-_-laptops-online-store-hp-_-hp,"HP ProBook 640 G2 Refurbished Laptop, 14"" Screen, 6th Gen Intel® Core™ i5, 8GB M...3.0 out of 5 stars. 2 reviews"
1632252830-1299,https://www.officedepot.com/cm/brand/hp,HP Laptops,https://www.officedepot.com/a/browse/hp-laptop-computers/N=5+690296/?cm_sp=brand-_-laptops-online-store-hp-_-hp,HP Pavilion x360 15-dq0077nr - Flip design - Core i5 8265U / 1.6 GHz - Windows 1...0.0 out of 5 stars.
1632252830-1253,https://www.officedepot.com/cm/brand/hp,HP Laptops,https://www.officedepot.com/a/browse/hp-laptop-computers/N=5+690296/?cm_sp=brand-_-laptops-online-store-hp-_-hp,"HP Elite Dragonfly 13.3"" Touchscreen 2 in 1 Notebook - Intel Core i7 (8th Gen) i...0.0 out of 5 stars."
1632252777-784,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,HP Z8 G4 Workstation - Intel Xeon Silver Quad-core 4 Core 4112 2.60 GHz - 16 GB ...
1632252830-1228,https://www.officedepot.com/cm/brand/hp,HP Laptops,https://www.officedepot.com/a/browse/hp-laptop-computers/N=5+690296/?cm_sp=brand-_-laptops-online-store-hp-_-hp,"HP Elite Dragonfly 13.3"" Touchscreen 2 in 1 Notebook - Intel Core i5 i5-8365U Qu..."
1632252777-1002,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,HP ZCentral 4R Workstation - Intel Xeon Hexa-core (6 Core) W-2235 3.80 GHz - 32 ...0.0 out of 5 stars.
1632252777-1005,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,HP Z4 G4 Workstation - 1 x Intel Xeon Quad-core 4 Core W-2104 3.20 GHz - 8 GB DD...3.0 out of 5 stars. 1 review
1632252777-824,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,HP Z2 G5 Workstation - 1 x Intel Core i7 -  i7-10700 10th Gen 2.90 GHz - 16 GB R...
1632252777-1037,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,HP Business Desktop ProOne 600 G6 All-in-One Computer - Intel Core i5 10th Gen i...0.0 out of 5 stars.
1632252777-812,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,HP EliteDesk 800 G5 Desktop Computer - Intel Core i5 9th Gen i5-9500T 2.20 GHz -...
1632251324-153,https://www.officedepot.com/cm/brand/hp,HP Monitors,https://www.officedepot.com/a/browse/hp-monitors/N=5+894047/?cm_sp=brand-_-all-monitors-online-store-hp-_-hp,"HP E24d G4 23.8"" Full HD LED LCD Monitor - 16:9 - 24"" Class - In-plane Switching..."
1632252830-1294,https://www.officedepot.com/cm/brand/hp,HP Laptops,https://www.officedepot.com/a/browse/hp-laptop-computers/N=5+690296/?cm_sp=brand-_-laptops-online-store-hp-_-hp,"HP Envy x360 Convertible Laptop, 15.6"" Touch Screen, 8th Gen Intel® Core™ i7, 8G..."
1632251324-160,https://www.officedepot.com/cm/brand/hp,HP Monitors,https://www.officedepot.com/a/browse/hp-monitors/N=5+894047/?cm_sp=brand-_-all-monitors-online-store-hp-_-hp,"HP Business Z23n G2 23"" Full HD LED LCD Monitor - 16:9 - Black - 1920 x 1080 - 1..."
1632252777-991,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,HP Z2 G5 Workstation - 1 x Intel Xeon -  W-1250 3.30 GHz - 16 GB RAM - 512 GB SS...0.0 out of 5 stars.
1632251324-171,https://www.officedepot.com/cm/brand/hp,HP Monitors,https://www.officedepot.com/a/browse/hp-monitors/N=5+894047/?cm_sp=brand-_-all-monitors-online-store-hp-_-hp,"HP Business E202 20"" HD+ LED LCD Monitor - 16:9 - 20"" Class - 1600 x 900 - 16.7 ..."
1632252777-981,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,HP EliteDesk 800 G6 Desktop Computer - Intel Core i5 10th Gen i5-10500T Hexa-cor...
1632252830-1268,https://www.officedepot.com/cm/brand/hp,HP Laptops,https://www.officedepot.com/a/browse/hp-laptop-computers/N=5+690296/?cm_sp=brand-_-laptops-online-store-hp-_-hp,"HP Pavilion x360 Laptop, 14"" Screen, Intel® Core™ i5, 8GB Memory, 256GB Solid St..."
1632252777-1082,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,HP Z4 G4 Workstation - 1 x Intel Xeon Quad-core 4 Core W-2223 3.60 GHz - 8 GB DD...0.0 out of 5 stars.
1632252777-1175,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,HP EliteDesk 805 G6 Desktop Computer - AMD Ryzen 7 PRO 4750G Octa-core (8 Core) ...0.0 out of 5 stars.
1632252777-862,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,"HP EliteDesk 800 G1 SFF Refurbished Desktop PC, Intel® Core™ i3, 8GB Memory, 1TB..."
1632252777-849,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,HP EliteDesk 800 G6 Desktop Computer - Intel Core i7 10th Gen i7-10700T Octa-cor...
1632252777-1119,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,HP EliteDesk 800 G5 - Mini desktop - 1 x Core i5 9500T / 2.2 GHz - RAM 16 GB - S...0.0 out of 5 stars.
1632251324-112,https://www.officedepot.com/cm/brand/hp,HP Monitors,https://www.officedepot.com/a/browse/hp-monitors/N=5+894047/?cm_sp=brand-_-all-monitors-online-store-hp-_-hp,"HP Pavilion 27"" Quantum Dot Display Monitor, FreeSync, 5DQ99AA#ABA"
1632252777-989,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,"HP Pavilion 590-p0020 Desktop PC, AMD Ryzen 3, 4GB Memory, 1TB Hard Drive, Windo..."
1632252777-1056,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,HP Z2 G5 Workstation - 1 x Intel Core i7 -  i7-10700 10th Gen 2.90 GHz - 16 GB R...0.0 out of 5 stars.
1632252777-1164,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,"HP 600 G1 Refurbished Desktop PC, Intel® Core™ i5, 8GB Memory, 256GB Solid State..."
1632252777-916,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,HP Collaboration G6 All-in-One Computer - Intel Core i5 10th Gen i5-10500 -  3.1...
1632252777-1054,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,HP EliteDesk 805 G6 Desktop Computer - AMD Ryzen 5 PRO 4650GE (6 Core) 3.30 GHz ...0.0 out of 5 stars.
1632252777-911,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,"HP 6200 Pro Refurbished Desktop PC, 2nd Gen Intel® Core™ i3, 4GB Memory, 250GB H..."
1632252777-999,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,"HP Compaq 400 Remanufactured Desktop, Intel® Core™ i3, 8GB Memory, 500GB Hard Dr...0.0 out of 5 stars."
1632252777-927,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,HP EliteDesk 800 G8 Desktop Computer - Intel Core i7 11th Gen i7-11700T (8 Core)...
1632251324-100,https://www.officedepot.com/cm/brand/hp,HP Monitors,https://www.officedepot.com/a/browse/hp-monitors/N=5+894047/?cm_sp=brand-_-all-monitors-online-store-hp-_-hp,"HP V22 21.5"" Full HD LED Monitor, 9SV78AA#ABA"
1632252777-1167,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,HP Z2 Mini G4 Workstation - 1 x Core i5 i5-8500 - 16 GB RAM - 256 GB SSD - Mini ...0.0 out of 5 stars.
1632252777-1092,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,HP Z2 Mini G5 Workstation - 1 x Intel Core i7 -  i7-10700 10th Gen 2.90 GHz - 32...
1632252830-1278,https://www.officedepot.com/cm/brand/hp,HP Laptops,https://www.officedepot.com/a/browse/hp-laptop-computers/N=5+690296/?cm_sp=brand-_-laptops-online-store-hp-_-hp,"HP 15-dy1001ds Notebook Refurbished Laptop, 15.6"" Screen, Intel® Core™ i5, 12GB ...0.0 out of 5 stars."
1632252830-1193,https://www.officedepot.com/cm/brand/hp,HP Laptops,https://www.officedepot.com/a/browse/hp-laptop-computers/N=5+690296/?cm_sp=brand-_-laptops-online-store-hp-_-hp,"HP 11a-na0040nr Chromebook, 11.6"" Touch Screen, MediaTek MT8183, 4GB Memory, 32G...4.7 out of 5 stars. 7 reviews"
1632252777-936,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,HP Z6 G4 Workstation - Xeon Silver 4216 - 16 GB RAM - 512 GB SSD - Tower - Black...
1632252777-905,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,"HP ENVY 27-b210 All-In-One PC, 27"" Quad HD Touch Screen, Intel® Core™ i7 6-Core,..."
1632252777-1114,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,"HP Elite Slice - USFF - Core i5 7500T / 2.7 GHz - RAM 8 GB - SSD 128 GB - TLC, H..."
1632252777-742,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,HP Collaboration G6 All-in-One Computer - Intel Core i5 10th Gen i5-10500 -  3.1...0.0 out of 5 stars.
1632252777-929,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,"HP Compaq 8200 Elite Refurbished Desktop PC, Intel® Core™ i5, 8GB Memory, 1TB Ha..."
1632252830-1274,https://www.officedepot.com/cm/brand/hp,HP Laptops,https://www.officedepot.com/a/browse/hp-laptop-computers/N=5+690296/?cm_sp=brand-_-laptops-online-store-hp-_-hp,"HP x2 10-p020nr 2-in-1 Laptop, 10.1"" Touchscreen, Intel® Atom x5, 2 GB Memory, 3...3.2 out of 5 stars. 5 reviews"
1632252777-1029,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,"HP ProDesk 600 G1 Refurbished Desktop PC, 4th Gen Intel® Core™ i7, 8GB Memory, 5..."
1632252830-1247,https://www.officedepot.com/cm/brand/hp,HP Laptops,https://www.officedepot.com/a/browse/hp-laptop-computers/N=5+690296/?cm_sp=brand-_-laptops-online-store-hp-_-hp,"HP EliteBook 840 G4 Refurbished Ultrabook Laptop, 14"" Screen, Intel® Core™ i5, 8...3.0 out of 5 stars. 2 reviews"
1632251324-110,https://www.officedepot.com/cm/brand/hp,HP Monitors,https://www.officedepot.com/a/browse/hp-monitors/N=5+894047/?cm_sp=brand-_-all-monitors-online-store-hp-_-hp,"HP 27fh 27"" Full-HD LED Monitor"
1632252777-885,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,HP EliteDesk 800 G5 Desktop Computer - Intel Core i5 9th Gen i5-9500 3 GHz - 8 G...
1632252777-1022,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,HP Z4 G4 Workstation - 1 x Intel Xeon (4 Core) W-2223 3.60 GHz - 16 GB DDR4 SDRA...
1632251324-170,https://www.officedepot.com/cm/brand/hp,HP Monitors,https://www.officedepot.com/a/browse/hp-monitors/N=5+894047/?cm_sp=brand-_-all-monitors-online-store-hp-_-hp,"HP E24d G4 23.8"" Full HD LED LCD Monitor - 16:9 - Black - 24"" Class - In-plane S..."
1632252830-1199,https://www.officedepot.com/cm/brand/hp,HP Laptops,https://www.officedepot.com/a/browse/hp-laptop-computers/N=5+690296/?cm_sp=brand-_-laptops-online-store-hp-_-hp,"HP ENVY 13-ba1025od Laptop, 13.3"" Screen, Intel® Core™ i5, 8GB Memory, Fingerpri...4.3 out of 5 stars. 6 reviews"
1632252777-913,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,HP Z2 Mini G4 Workstation - 1 x Core i5 i5-8500 - 8 GB RAM - 256 GB SSD - Mini P...
1632252777-759,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,"HP ProDesk 600G2 Refurbished Desktop PC, Intel® Core™ i3, 16GB Memory, 512GB Sol..."
1632252777-836,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,"HP 20-c410 All-In-One PC, 19.5"" HD + Screen, Intel® Celeron Quad Core, 4 GB Memo..."
1632252830-1270,https://www.officedepot.com/cm/brand/hp,HP Laptops,https://www.officedepot.com/a/browse/hp-laptop-computers/N=5+690296/?cm_sp=brand-_-laptops-online-store-hp-_-hp,"HP Elite Dragonfly 13.3"" Touchscreen 2 in 1 Notebook - 1920 x 1080 - Core i7 i7-..."
1632251324-169,https://www.officedepot.com/cm/brand/hp,HP Monitors,https://www.officedepot.com/a/browse/hp-monitors/N=5+894047/?cm_sp=brand-_-all-monitors-online-store-hp-_-hp,"HP E24 G4 Widescreen LCD Monitor with No Stand - 24"" Class - In-plane Switching ..."
1632252777-850,https://www.officedepot.com/cm/brand/hp,HP Desktops,https://www.officedepot.com/a/browse/hp-desktop-computers/N=5+690295/?cm_sp=brand-_-hp-desktoppcs-online-store-_-hp,"HP ProDesk 600G3 Refurbished SFF Desktop PC, Intel® Core™ i7, 16GB Memory, 256GB..."
1632252830-1201,https://www.officedepot.com/cm/brand/hp,HP Laptops,https://www.officedepot.com/a/browse/hp-laptop-computers/N=5+690296/?cm_sp=brand-_-laptops-online-store-hp-_-hp,"HP 14a-na0010nr Chromebook, 14"" Screen, Intel® Celeron®, 4GB Memory, 32GB eMMC, ...3.9 out of 5 stars. 20 reviews"
