web-scraper-order,web-scraper-start-url,cat,cat-href,name,name2
"1632383759-4085","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Two-Way Radio Batteries","https://www.officedepot.com/a/browse/two-way-radio-batteries/N=5+509484/","Two-Way Radio Batteries","Motorola® T400 Series Rechargeable AA Battery For Two-Way Radios, 1Y0617"
"1632383794-4103","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Cell Phone Batteries","https://www.officedepot.com/a/browse/cell-phone-batteries/N=5+509479/","Cell Phone Batteries","Lifeproof LIFEACTÍV POWER PACK 10 - Power bank - 10000 mAh (USB-C) - black"
"1632383782-4093","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Cordless Phone Batteries","https://www.officedepot.com/a/browse/cordless-phone-batteries/N=5+509480/","Cordless Phone Batteries","Amscan Graduation Tinsel Burst Centerpieces, 18"" x 10"", Multicolor, Pack Of 2 Ce..."
"1632383782-4097","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Cordless Phone Batteries","https://www.officedepot.com/a/browse/cordless-phone-batteries/N=5+509480/","Cordless Phone Batteries","SIIG CB-5E0X11-S1 Cat.5e STP Cable"
"1632383819-4133","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Camera Batteries","https://www.officedepot.com/a/browse/camera-batteries/N=5+509478/","Camera Batteries","Arlo Pro Rechargeable Battery - For Camera - Battery Rechargeable - 2440 mAh - 1"
"1632383794-4107","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Cell Phone Batteries","https://www.officedepot.com/a/browse/cell-phone-batteries/N=5+509479/","Cell Phone Batteries","Lenmar CLZ577SG Cell Phone Battery"
"1632383819-4136","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Camera Batteries","https://www.officedepot.com/a/browse/camera-batteries/N=5+509478/","Camera Batteries","Duracell CopperTop Battery - For Lantern, Smoke Alarm, Flashlight, Calculator, P..."
"1632383819-4115","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Camera Batteries","https://www.officedepot.com/a/browse/camera-batteries/N=5+509478/","Camera Batteries","Energizer® Photo Ultimate AA Lithium Batteries, Pack Of 4"
"1632383819-4113","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Camera Batteries","https://www.officedepot.com/a/browse/camera-batteries/N=5+509478/","Camera Batteries","Energizer® Photo Ultimate AA Lithium Batteries, Pack Of 8"
"1632383794-4100","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Cell Phone Batteries","https://www.officedepot.com/a/browse/cell-phone-batteries/N=5+509479/","Cell Phone Batteries","Moshi IonSlim 5K USB-C Portable Battery, Ultra-thin, 5000 mAh, USB-C and USB-A, ..."
"1632383819-4123","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Camera Batteries","https://www.officedepot.com/a/browse/camera-batteries/N=5+509478/","Camera Batteries","Olympus Lithium Ion Rechargeable Battery - For Camera - Battery Rechargeable - 3..."
"1632383819-4127","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Camera Batteries","https://www.officedepot.com/a/browse/camera-batteries/N=5+509478/","Camera Batteries","Duracell Lithium Photo Battery - For Camera, Photo Equipment - CR2032 - 3 V DC -..."
"1632383782-4094","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Cordless Phone Batteries","https://www.officedepot.com/a/browse/cordless-phone-batteries/N=5+509480/","Cordless Phone Batteries","Digital Energy® Cordless Phone Battery, 3.6 Volts, 850 mAh Capacity, DEBAT446"
"1632383794-4108","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Cell Phone Batteries","https://www.officedepot.com/a/browse/cell-phone-batteries/N=5+509479/","Cell Phone Batteries","Lenmar Replacement Battery for LG Cosmos 2 And VN251 Mobile Phones"
"1632383782-4091","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Cordless Phone Batteries","https://www.officedepot.com/a/browse/cordless-phone-batteries/N=5+509480/","Cordless Phone Batteries","Jasco PC26411 Battery For Panasonic® Cordless Phones"
"1632383819-4137","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Camera Batteries","https://www.officedepot.com/a/browse/camera-batteries/N=5+509478/","Camera Batteries","Olympus LI-50B Rechargeable Lithium-Ion Battery - For Camera - Battery Rechargea..."
"1632383819-4124","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Camera Batteries","https://www.officedepot.com/a/browse/camera-batteries/N=5+509478/","Camera Batteries","Energizer Ultimate Lithium AAA Batteries - For Camera, Electronic Device - AAA -..."
"1632383794-4111","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Cell Phone Batteries","https://www.officedepot.com/a/browse/cell-phone-batteries/N=5+509479/","Cell Phone Batteries","Lenmar CLZ558SG Cell Phone Battery"
"1632383782-4098","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Cordless Phone Batteries","https://www.officedepot.com/a/browse/cordless-phone-batteries/N=5+509480/","Cordless Phone Batteries","Lenmar Extended Battery for Samsung EB625152VAB Battery"
"1632383782-4092","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Cordless Phone Batteries","https://www.officedepot.com/a/browse/cordless-phone-batteries/N=5+509480/","Cordless Phone Batteries","Digital Energy® Cordless Phone Battery, 3.6 Volts, 830 mAh Capacity, DEBATP401A"
"1632383819-4134","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Camera Batteries","https://www.officedepot.com/a/browse/camera-batteries/N=5+509478/","Camera Batteries","Olympus BLN-1 Rechargeable Lithium-Ion Battery - For Camera - Battery Rechargeab..."
"1632383819-4130","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Camera Batteries","https://www.officedepot.com/a/browse/camera-batteries/N=5+509478/","Camera Batteries","Canon Battery Pack NB-13L - For Camera - Battery Rechargeable - 1250 mAh - 3.6 V..."
"1632383819-4112","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Camera Batteries","https://www.officedepot.com/a/browse/camera-batteries/N=5+509478/","Camera Batteries","Duracell CopperTop Alkaline AAA Battery - For Smoke Alarm, Flashlight, Lantern, ..."
"1632383819-4118","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Camera Batteries","https://www.officedepot.com/a/browse/camera-batteries/N=5+509478/","Camera Batteries","Duracell® Photo 3-Volt Lithium 123 Battery, Pack of 1"
"1632383794-4110","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Cell Phone Batteries","https://www.officedepot.com/a/browse/cell-phone-batteries/N=5+509479/","Cell Phone Batteries","Lenmar Extended Battery for Samsung EB625152VAB Battery"
"1632383819-4125","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Camera Batteries","https://www.officedepot.com/a/browse/camera-batteries/N=5+509478/","Camera Batteries","Duracell CopperTop Battery - For Digital Camera - CR2 - 3 V DC - 24 / Carton"
"1632383819-4114","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Camera Batteries","https://www.officedepot.com/a/browse/camera-batteries/N=5+509478/","Camera Batteries","Duracell CopperTop Alkaline AAA Batteries - For Smoke Alarm, Flashlight, Lantern..."
"1632383819-4122","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Camera Batteries","https://www.officedepot.com/a/browse/camera-batteries/N=5+509478/","Camera Batteries","Energizer Ultimate Lithium AAA Batteries - For Camera, Electronic Device - AAA -..."
"1632383832-4139","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Camcorder Batteries","https://www.officedepot.com/a/browse/camcorder-batteries/N=5+509477/","Canon NB-2LH Battery Pack - Lithium Ion (Li-Ion)
				
		        		












	
			
				
				 
					Item # 
					
						
							
							
								890817",""
"1632383794-4109","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Cell Phone Batteries","https://www.officedepot.com/a/browse/cell-phone-batteries/N=5+509479/","Cell Phone Batteries","SIIG CB-5E0X11-S1 Cat.5e STP Cable"
"1632383819-4116","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Camera Batteries","https://www.officedepot.com/a/browse/camera-batteries/N=5+509478/","Camera Batteries","Duracell® Photo 3-Volt Lithium CR2 Battery, Pack of 1"
"1632383819-4128","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Camera Batteries","https://www.officedepot.com/a/browse/camera-batteries/N=5+509478/","Camera Batteries","Canon NB-5L Lithium-Ion Digital Camera Battery - Lithium Ion (Li-Ion) - 3.7V DC"
"1632383782-4089","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Cordless Phone Batteries","https://www.officedepot.com/a/browse/cordless-phone-batteries/N=5+509480/","Cordless Phone Batteries","Digital Energy® 2.4V Cordless Phone Battery, DEBT166342"
"1632383819-4120","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Camera Batteries","https://www.officedepot.com/a/browse/camera-batteries/N=5+509478/","Camera Batteries","Duracell® Silver Oxide 303/357 Button Battery, Pack of 1"
"1632383819-4126","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Camera Batteries","https://www.officedepot.com/a/browse/camera-batteries/N=5+509478/","Camera Batteries","Duracell Lithium Photo Battery - For Camera, Photo Equipment - 3 V DC - 72 / Car..."
"1632383782-4099","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Cordless Phone Batteries","https://www.officedepot.com/a/browse/cordless-phone-batteries/N=5+509480/","Cordless Phone Batteries","Lenmar CLZ558SG Cell Phone Battery"
"1632383819-4135","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Camera Batteries","https://www.officedepot.com/a/browse/camera-batteries/N=5+509478/","Camera Batteries","Canon NB-4L Rechargeable Camera Battery - Lithium Ion (Li-Ion) - 3.7V DC"
"1632383782-4088","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Cordless Phone Batteries","https://www.officedepot.com/a/browse/cordless-phone-batteries/N=5+509480/","Cordless Phone Batteries","Digital Energy® Cordless Phone Battery, 2.4 Volts, 700 mAh Capacity, DEBAT6010"
"1632383819-4121","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Camera Batteries","https://www.officedepot.com/a/browse/camera-batteries/N=5+509478/","Camera Batteries","Canon LP-E10 Digtal Camera Battery - For Camera - Battery Rechargeable"
"1632383819-4138","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Camera Batteries","https://www.officedepot.com/a/browse/camera-batteries/N=5+509478/","Camera Batteries","Duracell® 3-Volt Lithium Camera Batteries, DL1/3NBPK"
"1632383782-4090","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Cordless Phone Batteries","https://www.officedepot.com/a/browse/cordless-phone-batteries/N=5+509480/","Cordless Phone Batteries","Digital Energy® Cordless Phone Battery, 2.4 Volts, 300 mAh Capacity, DEBT266342"
"1632383782-4096","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Cordless Phone Batteries","https://www.officedepot.com/a/browse/cordless-phone-batteries/N=5+509480/","Cordless Phone Batteries","Lenmar Replacement Battery for LG Cosmos 2 And VN251 Mobile Phones"
"1632383794-4106","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Cell Phone Batteries","https://www.officedepot.com/a/browse/cell-phone-batteries/N=5+509479/","Cell Phone Batteries","EnGenius® Lithium-Ion Battery For DuraFon Cordless Handset Phones, DURAFON-BA"
"1632383819-4132","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Camera Batteries","https://www.officedepot.com/a/browse/camera-batteries/N=5+509478/","Camera Batteries","Canon LP-E12 Camera Battery - For Camera - Battery Rechargeable - 875 mAh - 7.2 ..."
"1632383794-4104","https://www.officedepot.com/a/browse/av-batteries/N=5+509476/","Cell Phone Batteries","https://www.officedepot.com/a/browse/cell-phone-batteries/N=5+509479/","Cell Phone Batteries","EnGenius FREESTYL1BA Cordless Phone Battery - For Phone - Battery Rechargeable -..."
